lid,longitude,latitude,naics_code,num_visits
8739236,-79.9776115,37.2649195,722511.0,3
8739236,-79.9776115,37.2649195,812112.0,3
8739320,-79.9034664692017,37.2934947135637,326212.0,2
8739320,-79.9034664692017,37.2934947135637,441320.0,2
8740396,-79.9387395,37.2692005,492110.0,3
8740396,-79.9387395,37.2692005,522110.0,3
8740396,-79.9387395,37.2692005,523120.0,3
8740990,-80.091969,37.288332,722511.0,2
8741477,-79.9776115,37.2649195,523120.0,3
8741477,-79.9776115,37.2649195,722511.0,3
8741477,-79.9776115,37.2649195,812112.0,3
8741936,-80.012475,37.2256115,446110.0,1
8744573,-79.3789576989301,37.7423221908558,445110.0,1
8744573,-79.3789576989301,37.7423221908558,522390.0,2
8745238,-79.623046,37.3516285,447110.0,1
8746405,-79.1368595,37.4119845,451110.0,3
